"effect_id";"lit_id";"authors";"taxon";"tax_group";"year";"t_abund";"t_abund_sd";"c_abund";"c_abund_sd";"t_rich";"t_rich_sd";"c_rich";"c_rich_sd";"t_sites";"c_sites";"aes_age";"plant_rich";"land_div";"tas_mean";"tas_winter";"pr_sum";"pr_winter"
"1";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;24.7;4.8;17.2;3.4;4;4;1;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"2";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;30.9;6.4;17.2;3.4;4;4;2;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"3";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;33;3.4;17.2;3.4;4;4;3;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"4";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;32.2;6.2;17.2;3.4;4;4;4;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"5";"15";"Balmer et al.";"carabidae";"beetles";2007;34.4;5.2;13.5;2;9.1;1.4;4.3;0.4;2;2;1;2;0.535712183715293;10.9416667;5.49;896.805;315.545
"6";"15";"Balmer et al.";"staphylinidae";"beetles";2007;9.6;2.5;66.9;36.6;5.6;0.8;5.6;0.7;2;2;1;2;0.535712183715293;10.9416667;5.49;896.805;315.545
"7";"15";"Balmer et al.";"others";"spiders";2007;21.6;4.5;24.9;6.2;6.6;0.4;5.3;0.6;2;2;1;2;0.535712183715293;10.9416667;5.49;896.805;315.545
"8";"49";"Ditner et al.";"carabidae";"beetles";2010;1580.1;474;859.8;86;35;3.4;22.7;2.6;7;7;1;4;0.823828726177599;9.1214286;2.5642857;1071.152857;381.4514286
"9";"49";"Ditner et al.";"araneae";"spiders";2010;340;124.4;491;265.6;23;2.9;14.3;1.1;7;7;1;4;0.823828726177599;9.1214286;2.5642857;1071.152857;381.4514286
"10";"17";"Balzan et al.";"carabidae";"beetles";2011;6.8;2.9;0.5;0.3;NA;NA;NA;NA;1;1;1;9;0.672885751170109;16.1583333;9.89;501.79;593.86
"11";"17";"Balzan et al.";"staphylinidae";"beetles";2011;2.1;1;0.1;0;NA;NA;NA;NA;1;1;1;9;0.672885751170109;16.1583333;9.89;501.79;593.86
"12";"17";"Balzan et al.";"others";"spiders";2011;1.8;0.9;0.5;0.4;NA;NA;NA;NA;1;1;1;9;0.672885751170109;16.1583333;9.89;501.79;593.86
"13";"6";"Anjum-Zubair et al.";"carabidae";"beetles";2005;3.4;2.1;7.9;4.2;7.3;2.9;7.3;1.9;10;10;NA;NA;0.426594600257746;9.8683333;2.386;1018.452;285.057
"14";"203";"Tschumi et al.";"others";"beetles";2012;370.8;227.1;179.6;98.8;NA;NA;NA;NA;10;15;1;6;0.994693265349685;9.8156667;3.2172;1296.3068;365.0412
"15";"203";"Tschumi et al.";"coccinellidae";"beetles";2012;30.1;24.3;4.9;4.6;NA;NA;NA;NA;10;15;1;6;0.994693265349685;9.8156667;3.2172;1296.3068;365.0412
"16";"169";"Rosas-Ramos et al.";"others";"spiders";2014;19.4;9;43.5;9.2;5.1;1;9.9;1;3;3;NA;NA;0.00237590632113752;14.0263889;7.9566667;732.6233333;369.8633333
"17";"66";"Ganser et al.";"araneae";"spiders";2016;2;0.8;0.8;0.3;NA;NA;NA;NA;8;8;1;27;0.862456287810257;10.3204861;4.6608333;1304.479583;474.4420833
"18";"66";"Ganser et al.";"araneae";"spiders";2016;4.7;2;0.8;0.3;NA;NA;NA;NA;6;8;3;27;0.862456287810257;10.3204861;4.6608333;1304.479583;474.4420833
"19";"66";"Ganser et al.";"araneae";"spiders";2017;2.5;1;0.8;0.3;NA;NA;NA;NA;6;8;2;27;0.862456287810257;10.3670139;3.1308333;1013.764583;298.4570833
"20";"66";"Ganser et al.";"araneae";"spiders";2017;6.7;2.9;0.8;0.3;NA;NA;NA;NA;6;8;4;27;0.862456287810257;10.3670139;3.1308333;1013.764583;298.4570833
"21";"66";"Ganser et al.";"carabidae";"beetles";2016;4;2.5;1.1;0.3;NA;NA;NA;NA;8;8;1;27;0.862456287810257;10.3204861;4.6608333;1304.479583;474.4420833
"22";"66";"Ganser et al.";"carabidae";"beetles";2016;4.6;2.7;1.1;0.3;NA;NA;NA;NA;6;8;3;27;0.862456287810257;10.3204861;4.6608333;1304.479583;474.4420833
"23";"66";"Ganser et al.";"carabidae";"beetles";2017;3.9;2.7;1.1;0.3;NA;NA;NA;NA;6;8;2;27;0.862456287810257;10.3670139;3.1308333;1013.764583;298.4570833
"24";"66";"Ganser et al.";"carabidae";"beetles";2017;2.3;1.2;1.1;0.3;NA;NA;NA;NA;6;8;4;27;0.862456287810257;10.3670139;3.1308333;1013.764583;298.4570833
"25";"66";"Ganser et al.";"staphylinidae";"beetles";2016;2.3;1.1;0.5;0.3;NA;NA;NA;NA;8;8;1;27;0.862456287810257;10.3204861;4.6608333;1304.479583;474.4420833
"26";"66";"Ganser et al.";"staphylinidae";"beetles";2016;2.9;1;0.5;0.3;NA;NA;NA;NA;6;8;3;27;0.862456287810257;10.3204861;4.6608333;1304.479583;474.4420833
"27";"66";"Ganser et al.";"staphylinidae";"beetles";2017;2.3;1;0.5;0.3;NA;NA;NA;NA;6;8;2;27;0.862456287810257;10.3670139;3.1308333;1013.764583;298.4570833
"28";"66";"Ganser et al.";"staphylinidae";"beetles";2017;3.1;1.2;0.5;0.3;NA;NA;NA;NA;6;8;4;27;0.862456287810257;10.3670139;3.1308333;1013.764583;298.4570833
"29";"126";"Kujawa et al.";"carabidae";"beetles";2019;44.1;5.8;18.8;5.9;10;1.2;7.5;1.1;2;2;1;13;0.517323909336601;9.675;2.89;400.6;183.97
"30";"126";"Kujawa et al.";"others";"spiders";2019;22.2;3.9;12.2;3.9;6.9;1;5.3;0.9;2;2;1;13;0.517323909336601;9.675;2.89;400.6;183.97
"31";"126";"Kujawa et al.";"others";"spiders";2019;2.3;0.5;0.9;0.4;3.4;1;1.5;0.7;2;2;1;13;0.517323909336601;9.675;2.89;400.6;183.97
"32";"96";"Hoffmann et al.";"staphylinidae";"beetles";2018;68.2;76.8;48.3;52.3;6.5;4.8;3.2;2.2;10;10;NA;27;0.380755753860219;10.1104167;2.915;552.4765;345.455
"33";"96";"Hoffmann et al.";"carabidae";"beetles";2018;17.2;13.9;40.4;43.7;3.5;1.9;3.8;1.9;10;10;NA;27;0.380755753860219;10.1104167;2.915;552.4765;345.455
"34";"96";"Hoffmann et al.";"others";"spiders";2018;16.7;10.6;10.5;7.9;5.8;1;4;1.9;10;10;NA;27;0.380755753860219;10.1104167;2.915;552.4765;345.455
"35";"105";"Hyvoenen et al.";"carabidae";"beetles";2018;89.4;26.2;58.8;19.4;NA;NA;NA;NA;4;4;15;12;0;6.0333333;-3.17;471.06;251.19
"36";"139";"Mei et al.";"carabidae";"beetles";2014;12.1;2.5;9.5;2.6;NA;NA;NA;NA;8;8;2;NA;0.256291997412551;11.5934524;6.4985714;832.2085714;350.9442857
"37";"139";"Mei et al.";"others";"spiders";2014;14.7;0.8;3.1;0.9;NA;NA;NA;NA;8;8;2;NA;0.256291997412551;11.5934524;6.4985714;832.2085714;350.9442857
"38";"166";"Rischen et al.";"carabidae";"beetles";2019;291.3;165.7;222.4;96.9;21;2.9;16.3;2.9;10;10;NA;NA;0.371095925669875;10.7666667;4.791;713.5;253.643
"39";"166";"Rischen et al.";"staphylinidae";"beetles";2019;311.8;218.8;231.4;94.6;18.9;3.6;13.8;2;10;10;NA;NA;0.371095925669875;10.7666667;4.791;713.5;253.643
"40";"166";"Rischen et al.";"others";"beetles";2019;186.7;85.2;42.3;23.4;25.3;6.1;14.2;3.5;10;10;NA;NA;0.371095925669875;10.7666667;4.791;713.5;253.643
"41";"42";"Carvell et al.";"others";"beetles";2017;1.1;1.9;0.3;0.7;NA;NA;NA;NA;11;12;1;24;0.37182241209244;11.3155797;6.6386957;626.4747826;251.653913
"42";"42";"Carvell et al.";"others";"beetles";2018;3.6;5.7;0.7;1.2;NA;NA;NA;NA;11;12;2;24;0.37182241209244;11.3855072;5.5795652;668.1713043;305.8847826
"43";"42";"Carvell et al.";"others";"beetles";2019;4.8;7.1;0.2;0.5;NA;NA;NA;NA;11;12;3;24;0.37182241209244;11.2173913;7.11;577.4;315.0356522
"44";"62";"Frank et al.";"others";"beetles";2002;122.8;33.9;125.8;28.6;27.8;3.8;26.9;7.7;5;5;3;NA;0.353377795224862;9.9166667;2.85;1381.782;302.808
"45";"62";"Frank et al.";"others";"spiders";2002;31.1;13.4;7;3;7;3.4;5;2.5;5;5;3;NA;0.353377795224862;9.9166667;2.85;1381.782;302.808
"46";"95";"Hoffmann et al.";"staphylinidae";"beetles";2017;76.9;53.6;95.2;56.5;14.2;6;16.8;8.6;10;10;NA;27;0.229044055246231;9.585;3.8435;953.11075;246.3
"47";"95";"Hoffmann et al.";"staphylinidae";"beetles";2018;28.3;29.9;18;14.4;11.3;10;14.8;12.2;10;10;NA;27;0.229044055246231;10.1152083;2.918;552.378;345.301
"48";"95";"Hoffmann et al.";"staphylinidae";"beetles";2019;113.7;103.5;66;41.8;18;10.2;17.7;9;10;10;NA;27;0.229044055246231;10.1714583;4.9435;745.1;281.6195
"49";"95";"Hoffmann et al.";"carabidae";"beetles";2017;174.7;99.9;372.7;225;22;7.7;25.4;7.7;10;10;NA;27;0.229044055246231;9.585;3.8435;953.11075;246.3
"50";"95";"Hoffmann et al.";"carabidae";"beetles";2018;150;88.2;308.4;210.7;24.9;14;20.4;7.1;10;10;NA;27;0.229044055246231;10.1152083;2.918;552.378;345.301
"51";"95";"Hoffmann et al.";"carabidae";"beetles";2019;287;166.3;228.2;141;22.7;9.6;21.3;8.4;10;10;NA;27;0.229044055246231;10.1714583;4.9435;745.1;281.6195
"52";"95";"Hoffmann et al.";"others";"spiders";2017;78.7;53.8;59.2;34.2;15;9.2;15.7;8.6;10;10;NA;27;0.229044055246231;9.585;3.8435;953.11075;246.3
"53";"95";"Hoffmann et al.";"others";"spiders";2018;79.3;48.3;85.6;60.8;14.7;7.6;18.7;8.6;10;10;NA;27;0.229044055246231;10.1152083;2.918;552.378;345.301
"54";"95";"Hoffmann et al.";"others";"spiders";2019;128.5;82.2;120.8;69.1;15;7.7;24.2;12.6;10;10;NA;27;0.229044055246231;10.1714583;4.9435;745.1;281.6195
"55";"106";"Jacobsen et al.";"coccinellidae";"beetles";2017;5.7;3.6;10;4.7;NA;NA;NA;NA;5;3;2;36;0.512106910196042;9.1541667;3.445;700.88875;187.18375
"56";"106";"Jacobsen et al.";"araneae";"spiders";2017;16.9;8;15.8;6.1;NA;NA;NA;NA;5;3;2;36;0.512106910196042;9.1541667;3.445;700.88875;187.18375
"57";"108";"Jeanneret et al.";"araneae";"spiders";1997;369.3;172.5;269.9;91.4;20.5;6.1;18.9;3;11;20;1;30;0.516085340008587;10.1768817;3.3512903;758.628125;329.2719355
"58";"108";"Jeanneret et al.";"araneae";"spiders";1999;279.2;113.9;249.6;86.2;28.9;6.2;21.3;4.9;9;20;3;30;0.516085340008587;10.2017857;2.7442857;1189.237241;390.9075
"59";"108";"Jeanneret et al.";"araneae";"spiders";2001;482.1;178.2;313.1;110.3;38.6;5.3;22.1;4.1;10;21;5;30;0.516085340008587;10.1247222;4.6293333;1250.754516;518.9143333
"60";"108";"Jeanneret et al.";"araneae";"spiders";2003;495.2;150.8;330.2;182.2;36.9;6.3;23.6;5.2;10;21;7;30;0.516085340008587;11.0691667;3.712;704.3177419;344.79
"61";"108";"Jeanneret et al.";"carabidae";"beetles";1997;1088.5;639.7;516.6;247.3;34;5.2;21.7;4.8;11;20;1;30;0.516085340008587;10.1768817;3.3512903;758.628125;329.2719355
"62";"108";"Jeanneret et al.";"carabidae";"beetles";1999;468.8;275.9;482.2;313;32.7;2;21.6;6.9;9;20;3;30;0.516085340008587;10.2017857;2.7442857;1189.237241;390.9075
"63";"108";"Jeanneret et al.";"carabidae";"beetles";2001;506.7;267.7;515.9;379.6;29.6;2.4;18.9;3.7;10;21;5;30;0.516085340008587;10.1247222;4.6293333;1250.754516;518.9143333
"64";"108";"Jeanneret et al.";"carabidae";"beetles";2003;943.8;738.5;819.8;556.2;34.3;4.6;22.2;3.6;10;21;7;30;0.516085340008587;11.0691667;3.712;704.3177419;344.79
"65";"110";"Jowett et al.";"carabidae";"beetles";2017;2.9;8.5;21.4;8.2;1.6;5.4;4;4.4;10;10;1;17;0.553268614241906;10.72;5.988;563.304;202.12
"66";"179";"Schmied et al.";"carabidae";"beetles";2017;73.3;50.7;NA;NA;13.1;1.7;NA;NA;3;6;NA;23;0.339968666539811;11.2361111;5.1566667;652.0433333;223.0683333
"67";"179";"Schmied et al.";"carabidae";"beetles";2017;206.2;295.1;NA;NA;8.9;4;NA;NA;3;6;1;23;0.339968666539811;11.2361111;5.1566667;652.0433333;223.0683333
"68";"179";"Schmied et al.";"carabidae";"beetles";2017;106.8;127.2;NA;NA;9.2;2.3;NA;NA;3;6;3;23;0.339968666539811;11.2361111;5.1566667;652.0433333;223.0683333
"69";"223";"Pfiffner et al.";"carabidae";"beetles";1995;127.7;98.9553057658931;14.2;13.0457109303154;10.2;2.43797292907784;1.1;0.0445577820535902;6;6;2;25;0.651862085168523;10.31875;5.28;1213.81;522.725
"70";"223";"Pfiffner et al.";"staphylinidae";"beetles";1995;283.9;181.59362497197;67.1;40.9286542106518;14.7;3.12553305185741;3.9;0.790415508736709;6;6;2;25;0.651862085168523;10.31875;5.28;1213.81;522.725
"71";"223";"Pfiffner et al.";"coccinellidae";"beetles";1995;15.5;39.5953863361756;0;0;0.9;1.01701534200005;1.2;0.0711955580065592;6;6;2;25;0.651862085168523;10.31875;5.28;1213.81;522.725
"72";"223";"Pfiffner et al.";"araneae";"spiders";1995;72.3;50.8042988430642;0;0;5.2;1.0329940532536;0;0;6;6;2;25;0.651862085168523;10.31875;5.28;1213.81;522.725
"73";"272";"Frank et al.";"carabidae";"beetles";2001;19.4;13.4;29.2;19.4;5.7;1.8;6.9;2.6;4;4;1;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"74";"272";"Frank et al.";"carabidae";"beetles";2001;22.4;16.4;29.2;19.4;8.9;3;6.9;2.6;4;4;2;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"75";"272";"Frank et al.";"carabidae";"beetles";2001;43.4;32.8;29.2;19.4;10;6.4;6.9;2.6;4;4;3;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"76";"272";"Frank et al.";"carabidae";"beetles";2001;60.6;40.4;29.2;19.4;12.3;4;6.9;2.6;4;4;4;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"77";"272";"Frank et al.";"araneae";"spiders";2001;116.7;50;191.7;116.6;6;1.6;8;1.8;4;4;1;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"78";"272";"Frank et al.";"araneae";"spiders";2001;408.3;250;191.7;116.6;8.2;2.2;8;1.8;4;4;2;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"79";"272";"Frank et al.";"araneae";"spiders";2001;508.3;616.6;191.7;116.6;8.6;2.6;8;1.8;4;4;3;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"80";"272";"Frank et al.";"araneae";"spiders";2001;383.3;333.4;191.7;116.6;10.6;3.8;8;1.8;4;4;4;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"81";"272";"Frank et al.";"staphylinidae";"beetles";2001;547;313.4;157.3;86.6;NA;NA;NA;NA;4;4;1;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"82";"272";"Frank et al.";"staphylinidae";"beetles";2001;268.6;218.6;157.3;86.6;NA;NA;NA;NA;4;4;2;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"83";"272";"Frank et al.";"staphylinidae";"beetles";2001;116;107.2;157.3;86.6;NA;NA;NA;NA;4;4;3;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"84";"272";"Frank et al.";"staphylinidae";"beetles";2001;81;12.4;157.3;86.6;NA;NA;NA;NA;4;4;4;22;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"85";"277";"Schmidt-Entling et al.";"araneae";"spiders";2005;1.8;1.5;2;2;1.3;0.5;1.3;0.5;10;10;NA;22;0;9.868333333;2.386;925.8654545;285.057
"86";"277";"Schmidt-Entling et al.";"others";"spiders";2005;2.5;1.5;2;1;1.1;0.4;1.3;0.6;10;10;NA;22;0;9.868333333;2.386;925.8654545;285.057
"87";"277";"Schmidt-Entling et al.";"linyphiidae";"spiders";2005;140.3;77.2;139.2;72.4;8.9;2.4;11.5;2;10;10;NA;22;0;9.868333333;2.386;925.8654545;285.057
"88";"277";"Schmidt-Entling et al.";"lycosidae";"spiders";2005;283.6;195.8;187.5;75.1;5.9;1.5;4.7;1.4;10;10;NA;22;0;9.868333333;2.386;925.8654545;285.057
"89";"277";"Schmidt-Entling et al.";"others";"spiders";2005;9.7;4.9;8.2;7.8;1.7;0.7;1.6;0.5;10;10;NA;22;0;9.868333333;2.386;925.8654545;285.057
